,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Walter Tavares,1.001,0.001,0.001,0.001,0.001
Wayne Ellington,0.801,0.445,0.168,0.489,0.366
Wesley Johnson,0.594,0.668,0.501,0.42,0.266
Wesley Matthews,0.591,0.322,0.439,0.33,0.381
Will Barton,0.567,0.388,0.441,0.426,0.367
Willie Cauley-Stein,0.712,0.478,0.242,0.301,0.001
Willie Reed,0.717,0.39,0.401,0.301,0.334
Willy Hernangomez,0.65,0.397,0.436,0.215,0.251
Wilson Chandler,0.675,0.428,0.354,0.44,0.338
Yogi Ferrell,0.584,0.201,0.382,0.354,0.385
Zach LaVine,0.638,0.42,0.34400000000000003,0.412,0.389
Zach Randolph,0.651,0.442,0.393,0.362,0.247
Zaza Pachulia,0.605,0.47,0.43,0.351,0.001
